role,category,desc,skills
Data Scientist,Data & AI,Menganalisis data besar untuk menemukan pola dan membangun model prediktif.,"Python, SQL, Machine Learning, Deep Learning, Statistics, Pandas, Scikit-learn, TensorFlow"
Data Analyst,Data & AI,Menerjemahkan data menjadi laporan bisnis untuk pengambilan keputusan.,"SQL, Excel, Tableau, Power BI, Python, Data Visualization, Analytical Skills"
Data Engineer,Data & AI,Membangun arsitektur data dan pipeline ETL yang skalabel.,"Python, SQL, Apache Spark, Hadoop, AWS, GCP, ETL, Data Warehousing"
Machine Learning Engineer,Data & AI,Mendeploy dan mengoptimalkan model AI ke dalam sistem produksi.,"Python, C++, PyTorch, MLOps, Docker, Kubernetes, CI/CD"
Business Intelligence Analyst,Data & AI,Menganalisis metrik bisnis menggunakan dashboard interaktif.,"SQL, Power BI, Tableau, Business Strategy, Data Modeling"
AI Prompt Engineer,Data & AI,Merancang dan mengoptimalkan prompt untuk Large Language Models.,"NLP, Prompt Engineering, OpenAI API, Python, Creative Writing"
Computer Vision Engineer,Data & AI,Membangun sistem AI untuk pengenalan gambar dan video.,"Python, OpenCV, PyTorch, CNN, Image Processing"
NLP Engineer,Data & AI,Mengembangkan sistem AI pemrosesan bahasa alami.,"Python, NLP, Hugging Face, Transformers, NLTK, Spacy"
Deep Learning Engineer,Data & AI,Membangun dan melatih model deep learning tingkat lanjut untuk pengenalan pola.,"Python, PyTorch, TensorFlow, Keras, CNN, RNN, Transformers, GPU"
Data Architect,Data & AI,Merancang dan mengelola arsitektur penyimpanan data terdistribusi dan sistem database.,"Data Modeling, SQL, NoSQL, Hadoop, Spark, Snowflake, AWS, Azure"
Data Quality Specialist,Data & AI,"Memastikan kebersihan, konsistensi, dan integritas data dalam data warehouse.","SQL, Python, Data Quality, ETL, Excel, Reporting"
Frontend Developer,Software Engineering,Membangun antarmuka web (Client-side) yang responsif dan interaktif.,"HTML, CSS, JavaScript, React.js, Vue.js, Tailwind, Responsive Design"
Backend Developer,Software Engineering,"Membangun logika server, database, dan RESTful API.","Node.js, Go, Python, Java, PostgreSQL, MongoDB, REST API, Microservices"
Fullstack Developer,Software Engineering,Menguasai pengembangan sisi klien maupun sisi server.,"JavaScript, React.js, Node.js, Express, MongoDB, SQL, Git"
Android Developer,Software Engineering,Mengembangkan aplikasi mobile khusus untuk sistem operasi Android.,"Kotlin, Java, Android Studio, XML, REST API, SQLite"
iOS Developer,Software Engineering,Mengembangkan aplikasi mobile ekosistem Apple.,"Swift, Objective-C, Xcode, iOS SDK, Core Data"
Flutter Developer,Software Engineering,Membangun aplikasi mobile cross-platform menggunakan Flutter.,"Flutter, Dart, Firebase, REST API, State Management"
QA Engineer (Tester),Software Engineering,Memastikan kualitas perangkat lunak dengan automated & manual testing.,"Selenium, Cypress, Jest, Manual Testing, Automation Testing, QA"
QA Automation Engineer,Software Engineering,Menulis skrip uji coba otomatis tingkat lanjut untuk aplikasi web dan mobile.,"Selenium, Appium, Python, JavaScript, Jenkins, CI/CD, Test Automation"
Mobile Tech Lead,Software Engineering,Memimpin pengembangan teknis tim pengembang aplikasi mobile (iOS & Android).,"Swift, Kotlin, Flutter, Mobile Architecture, Code Review, Team Leadership"
Game Developer,Software Engineering,"Membangun logika permainan, karakter, dan lingkungan interaktif.","Unity, C#, Unreal Engine, C++, Game Design, 3D Math"
Blockchain Developer,Software Engineering,Membangun sistem terdesentralisasi dan smart contracts.,"Solidity, Web3.js, Ethereum, Cryptography, Blockchain Architecture"
DevOps Engineer,Infrastructure,"Menjembatani pengembangan dan operasi IT, fokus pada CI/CD.","Linux, Docker, Kubernetes, AWS, Jenkins, Terraform, CI/CD"
